Rider_ID,Initial_Location,Dropoff_Location,status,systemjoin,pickup,dropoff
r54,"[0.18251809227538995, 17.794998071946708]","[9.66731837393505, 16.030384281901135]",Abandoned,1.8354151561406078,,
r55,"[17.63222462805465, 6.9829318240058535]","[7.430640775093556, 9.835594242009515]",Abandoned,1.841982125086222,,
r56,"[17.81545377574488, 14.95607768886879]","[18.31622220189491, 15.38360194761803]",Completed,1.8599776040146656,,
r57,"[13.458743821909739, 10.878674077143762]","[14.739072917741469, 12.66658882308487]",Abandoned,1.9165937687338443,,
r58,"[17.768058525252822, 14.314378330411074]","[11.519332139425899, 3.5756825136173642]",Completed,1.9258313749636313,,
r59,"[19.04366622043271, 10.788182932638115]","[19.619538390144935, 1.5603595420678373]",Abandoned,2.0109453288325074,,
r60,"[6.994794001766758, 8.466883307741266]","[0.4540462506622478, 13.314560212780517]",Abandoned,2.0750803444855648,,
r61,"[3.379018535024707, 6.231462389485873]","[6.733316579375317, 17.842673189434425]",Abandoned,2.1423777128660912,,
r62,"[14.75025650384004, 5.601171194411394]","[5.232112281509698, 17.23231676133126]",Completed,2.1478915310062727,,
r63,"[14.173048063153967, 0.09654878127654198]","[19.582502565558592, 2.547727208272843]",Abandoned,2.1482202283127414,,
r64,"[10.691565974346064, 2.2370186888417964]","[13.716860315589054, 3.3212103375647906]",Abandoned,2.181301364238046,,
r65,"[5.788939858188522, 4.523837236720414]","[10.745367045288257, 9.838256131444219]",Abandoned,2.304623132976712,,
r66,"[12.725367243612657, 19.901841562242602]","[3.777905063047251, 5.392445465393314]",Abandoned,2.3364978505657574,,
r67,"[17.829017963895545, 8.295976294473839]","[7.733369571027621, 0.9906043455508406]",Abandoned,2.361421572653047,,
r68,"[4.087747101634425, 18.05812572589652]","[7.744000638204316, 11.81239802081346]",Abandoned,2.3620129120455595,,
r69,"[14.247105074003075, 13.862762725977975]","[13.709872452280612, 12.018500504951593]",Abandoned,2.369652728422775,,
r70,"[13.154707807025531, 17.54741728909872]","[2.004007583824934, 17.604996137297665]",Abandoned,2.3777159116444397,,
r71,"[1.8545778476907282, 9.23152003484808]","[13.057617790411042, 19.856855711291534]",Completed,2.44152687129621,,
r72,"[13.009767176031804, 1.3830617250792399]","[6.001442118821427, 7.084430955806766]",Abandoned,2.445915224078732,,
r73,"[17.37477823139049, 15.762684592056669]","[5.019673267060045, 13.326710693212146]",Completed,2.4864799143529654,,
r74,"[12.118337570322183, 5.692128209031626]","[19.393812913287622, 7.009528586254028]",Abandoned,2.488129618493876,,
r75,"[16.341661140221838, 19.749072103495408]","[7.929182186197314, 19.6033334117742]",Abandoned,2.4995542592074034,,
r76,"[8.21573049705574, 17.00049713709942]","[2.38762388564141, 14.288991716270068]",Completed,2.5073819464029543,,
r77,"[8.190176944095782, 15.707926201311919]","[7.606719720624307, 10.0654984566224]",Abandoned,2.5793696276771305,,
r78,"[0.5739857515152669, 1.9507754529128918]","[6.02673851520934, 16.957430830392468]",Abandoned,2.629609362276279,,
r79,"[18.621542845044775, 4.788889802656573]","[10.839960573042692, 7.7198612319007776]",Abandoned,2.6504058209377206,,
r80,"[6.074540095871894, 13.52763977606404]","[7.6684468877221885, 11.358944574298256]",Abandoned,2.668710863798449,,
r81,"[16.505596777104326, 14.824664540148147]","[6.1638740079344645, 2.1957215706507993]",Abandoned,2.740199052129315,,
r82,"[4.863635121265593, 12.50569073096148]","[6.729755653313196, 7.794907848636665]",Abandoned,2.78050224717064,,
r83,"[3.0798399857037717, 12.94564493161766]","[14.037793388943062, 2.034552754329595]",Abandoned,2.8033772783170745,,
